Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Drama,6,13,Ram,Vinod,Saira,Vinod
Drama,5,1,D'Souza,Madhuri,Akshay,Saif
Romance,5,13,Goel,Kamini,Shekhar,Om
Family,6,32,Kumar,Vyjayanthimala,Rajendra,Raj
Comedy,6,23,Raman,Vyjayanthimala,Kishore,Pran
Drama,7,1,Kukunoor,John,Anaitha,Girish
Drama,4,1,Datt,Emraan,Tanushree,Sonu
Comedy,6,13,Kashyap,Maya,Vikas,Mohnish
Musical,6,1,Bhatt,Rahul,Anu,Avtar
Drama,7,27,Suri,Aditya,Shraddha,Shaad
Drama,6,10,Dey,Anamitra,Anamitra,Yovik
Action,5,8,Sen,Subrat,Ameet,Sunny
Drama,4,12,Juneja,Rajiv,Divya,Tina
Drama,5,6,Ahmad,Prithviraj,Dilip,Surekha
Adventure,6,56,Parashar,Abhishek,Raghuvir,Anupam
Drama,7,32,Bose,Mala,Biswajit,Balraj
Action,4,16,Sangal,Jeetendra,Neetu,Dheeraj
Romance,5,7,Sarhadi,Nalini,Nasir,Usha
Action,6,14,Hussain,Kedar,Dara,Helen
Action,5,31,Balraj,Mithun,Aditya,Gulshan
Action,5,35,Pilgaonkar,Sachin,Rohit,Dharmendra
Comedy,4,6,Tanwar,Saurabh,Rekha,Omkar
Action,4,32,Shah,Rekha,Mithun,Deepika
Mystery,4,24,Kumar,Shatrughan,Neetu,Asrani
Action,5,8,Thakur,Hemant,Sudhir,Kimi
Action,7,8,Amin,Nana,Revathi,Yashpal
Action,5,1,Gulab,Nana,Mohan,Gul
Drama,4,6,Nahata,Keshto,Arvind,Shalini
Action,4,1,Sharma,Sanjay,Amitabh,Akshay
Drama,6,6,D'Souza,Prabhu,Ganesh,Kay
Action,4,21,Desai,Prem,Ameeta,Shashikala
Action,5,10,Taneja,Jaya,Danny,Simi
Drama,6,24,Bose,Meena,Nanda,Sanjay
Drama,7,10,Kaul,Ameeta,Shekhar,Chand
Drama,7,2,Mukherjee,Amitabh,Jaya,Asrani
Action,4,28,Juneja,Anil,Kimi,Poonam
Drama,7,8,Chatterjee,Ranjit,Debashree,Soumitra
Drama,7,6,Prakash,Dilshad,Vasundhara,Raj
Drama,6,25,Mukherjee,Amjad,Ranjeet,Raj
Comedy,4,5,Amrutlal,Akshay,Aishwarya,Aditya
Action,5,11,Singh,Rahul,Mayuri,Rocky
Action,6,28,Bhatt,Ashok,Ragini,Sailesh
Comedy,6,13,Segal,Usha,Kishore,Yashodra
Drama,4,21,Sagar,Ashok,Nanda,Deb
Drama,4,11,Reddy,Tania,Rajnel,Ratu
Action,6,2,Vinayak,N.T.,Nayanthara,Sheela
Drama,5,8,Sippy,Pradeep,Meena,D.K.
Adventure,6,12,Palrecha,Suvahhdan,Neel,Prachita
Adventure,4,7,Wadia,Nazneen,Jayshree,Raza
Drama,5,21,Johar,Ranbir,Aishwarya,Anushka
Action,4,1,Bhatt,Amitabh,John,Bipasha
Action,4,1,Dhanoa,Akshay,Urmila,Anupam
Adventure,6,18,Balraj,Anand,Sahila,B.S.
Drama,7,57,Chopra,Ashok,Veena,Jeevan
Comedy,7,19,Anand,Dev,Suraiya,Ruma
Crime,6,43,Govind,Udayan,Akanksha,Sukhesh
Drama,6,27,Shroff,Amol,Zarina,Kader
Adventure,6,30,Subbaraav,T.S.,J.P.,Devagi
Action,5,7,Raghavan,Kareena,Saif,Rajat
Action,5,29,Om,Mithun,Chunky,Amrita
Action,5,26,Alibhai,Mastan,Masum,Sadashiv
Action,7,8,Anand,Amitabh,Mithun,Madhavi
Action,6,22,Malhotra,Hrithik,Priyanka,Sanjay
Action,7,33,P.,Saroja,Saikumar,Ranjitha
Crime,6,22,Majumdar,Amol,Parikshit,Rameshwari
Drama,7,9,Kaul,Sanjeev,Sharada,Sajjan
Action,4,24,Reddy,Asrani,Mithun,Pinky
Comedy,4,5,Dave,Shakila,Vijay,Nanda
Musical,6,19,Ganguly,Rekha,Utpal,Shailendra
Drama,5,53,S.,Mithun,Mamta,Prem
Musical,7,45,Shroff,Parveen,Suresh,Aruna
Drama,7,1,Nair,Abhay,Soha,Shayan
Drama,5,38,Suri,Shashi,Simi,Rakesh
Drama,6,36,Sadanah,Jeetendra,Jaya,Mithun
Drama,6,52,Bora,Yashpal,Ira,Tinnu
Comedy,5,3,Ojha,Sonam,Abhay,Amrita
Action,4,7,Qayyoom,Sarvar,Preeti,Pankaj
Drama,6,9,Alibhai,Mastan,Akshay,Kareena
Action,5,4,Pandey,Sidharth,Manoj,Rakul
Comedy,4,1,Kundalkar,Rani,Prithviraj,Nirmiti
Action,6,13,Santoshi,Ranbir,Katrina,Darshan
Drama,5,52,Prakash,Ajay,Vikas,Rajesh
Drama,6,4,Ghaywan,Kayoze,Shashank,Raj
Drama,4,11,Om,Vikas,Neelima,Rita
Crime,5,12,Sarup,Navin,Mohan,Vijayendra
Comedy,6,11,Hussain,Geeta,Suresh,Johnny
Action,6,8,Alibhai,Mastan,Akshay,Bobby
Action,5,1,Kapoor,Gennadiy,Amitabh,Dimple
Action,4,29,Ramsay,Tulsi,Hemant,Manjeet
Action,5,39,Shetty,Aditya,Sheetal,Om
Action,6,12,Motwane,Anil,Anurag,Sonam
Drama,6,1,Ranjan,Kartik,Nushrat,Sunny
Comedy,5,40,Raj,Ashok,Jeetendra,Sridevi
Comedy,7,5,Anand,I.S.,Kishore,Sonia
Romance,4,26,Ahmed,Akbar,Sonu,Girish
Drama,6,32,Majumdar,Dharmendra,Mehmood,Ashok
Drama,7,38,Rama,N.T.,Nandamuri,Unni
Drama,7,4,Khan,Aamir,Manisha,Master
Romance,5,11,Pande,Perena,Nandini,Brij
Comedy,6,21,Jaswantlal,Meena,Rajendra,Agha
Action,5,13,Issar,Shashi,Rajan,Suresh
Action,5,1,Omprakash,Amitabh,Raveena,Manoj
Drama,4,1,Narayan,Emraan,Udita,Dino
Adventure,5,15,Wadia,Mahipal,Meena,S.N.
Action,4,2,Ghosh,Amitabh,Sanjay,Riteish
Comedy,6,7,Kumar,Vikas,Usha,Monu
Fantasy,7,22,Mistry,N.T.,Vanisri,Ramakrishna
Drama,6,8,Vakil,Nazima,Ajit,Paidi
Drama,6,6,Shamsheer,Mehmood,Aruna,Rajendranath
Drama,5,37,Zoe,Aitana,Aida,Rohit
Adventure,6,14,Wadia,Sanjeev,L.,David
Action,6,46,Wadia,Shakila,Mahipal,B.M.
Action,4,30,Agnihotri,Azghar,Brownie,Diveyaa
Action,6,27,Kapoor,Urmila,Birbal,Jagdeep
Fantasy,7,37,Bhatt,Shanti,Bashir,Zohra
Fantasy,6,11,Amarnath,Nimmi,Asha,Pran
Biography,7,6,Mehta,Manoj,Rajkummar,Ashish
Action,4,31,Kumar,Kumar,Rati,Vinod
Action,6,5,Shetty,Sanjay,Ajay,Fardeen
Comedy,4,7,Arora,Zahid,Shakti,Kader
Comedy,4,1,Abbas,Lillete,Satyajeet,Ali
Drama,6,24,Paul,Manoj,Sadhana,Balraj
Adventure,6,41,Kumar,Rajendra,Saira,Balraj
Action,6,23,Kashmiri,Sonia,Dev,Bob
Drama,7,15,Sen,Bharat,Chand,Nasir
Musical,6,38,Prakash,Dev,Vyjayanthimala,Padmini
Comedy,5,17,Thakur,Sunil,Rajpal,Shawar
Drama,6,17,Rajaram,Durga,Shanta,Vasanti
Drama,4,25,Hashmi,Chandrima,Kundan,Sufi
Action,4,16,Malhotra,Shashi,Shatrughan,Sulakshana
Action,7,7,Desai,Vinod,Rishi,Amitabh
Family,4,41,Kumar,Shabana,Anil,Meenakshi
Comedy,5,6,Ahluwalia,Lata,Yogesh,Surjeet
Romance,5,11,Chatterjee,Pradeep,Anuradha,Rameshwari
Mystery,4,16,Bajpai,Rohan,Ishita,Gunjan
Drama,5,19,Khan,Amitabh,Zeenat,Rabia
Comedy,6,1,Dinker,Deep,Ronobir,Purva
Family,4,47,Malhotra,Jeetendra,Rekha,Rishi
Drama,6,6,Sharma,Shambhavi,Brahmanandam,Ayesha
Drama,5,7,Balaji,Dhamini,Kumar,Prema
Drama,5,45,Siva,Meena,Vineeth,Siva
Action,6,29,Modi,Arman,Ayesha,Kiran
Drama,5,1,Das,Pankaj,Swara,Sanjay
Family,6,38,Anand,Dev,Suneil,Raj
Drama,7,19,Patwardhan,Nachiket,Sudhir,Rohini
Drama,6,36,Sen,Shashi,Sharmila,Moushumi
Crime,5,54,Mehta,Vansh,Tia,Janki
Drama,5,2,Kanwar,Akshay,Lara,Priyanka
Action,6,16,Samanta,Mithun,Mandakini,Tanuja
Action,6,53,Sundarrajan,Kamal,Urvashi,Y.G.
Action,6,8,Tyagi,Raj,Kimi,Sripradha
Crime,5,30,Ramsay,Tulsi,Sameer,Vani
Drama,4,6,Asthana,Anchana,Anisha,Anil
Comedy,6,56,Kondke,Dada,Usha,Dina
Drama,5,13,Dasgupta,Deepti,Mahesh,Anil
Action,4,30,Ganguly,Sadashiv,Suresh,Hemant
Adventure,5,39,Seth,Rajesh,Smita,Raj
Drama,7,6,Lall,Nasir,Nargis,K.N.
Drama,6,53,Shah,Sapna,Rajesh,Amit
Comedy,7,11,Adajania,Irrfan,Radhika,Kareena
Comedy,7,2,Nalin,Sarah,Rajshri,Sandhya
Action,5,9,Rout,Muntazir,Amit,Ashit
Action,6,28,Bhatt,Nimmi,Bharat,Anita
Drama,7,40,Tandon,Sanjeev,Leena,Padma
Action,5,7,Kumar,Feroz,Shahida,Nisar
Action,5,10,Khanna,Sarika,Ramesh,Gajanan
Thriller,5,12,Hariharan,Rajan,Parijat,Shashi
Drama,6,6,Rawail,Madhuri,Shah,Tinnu
Drama,6,19,J.,Feroz,Asha,Akbar
Romance,5,48,Kumar,Rajendra,Babita,Pran
Comedy,5,6,Anand,Priyanka,Aubrey,Ranbir
Drama,4,9,Rai,Mohnish,Beena,Farida
Action,5,12,Mistry,Feroz,Nalini,Helen
Drama,6,40,Ganguly,Rishi,Neetu,Nirupa
Crime,5,5,Dave,Shekhar,Mala,S.
Romance,5,46,S.,Anuraag,Rakhee,Satyendra
Drama,6,1,Tatari,Kay,Visshesh,Tisca
Drama,7,9,Bose,Preeti,Anoop,Birbal
Biography,4,43,Udapurkar,Shashank,Tanishaa,Govind
Biography,6,14,Udapurkar,Jayant,Ashwini,Anant
Drama,6,40,Sen,Jaya,Anil,Om
Drama,7,29,Thankappan,Jayalalitha,Gemini,Padmini
Action,7,1,Krishna,Rajinikanth,Sarath,Kushboo
Action,4,18,Kishore,Shatrughan,Zarina,A.K.
Comedy,6,13,Sharma,Ankur,Ajay,Paintal
Drama,7,9,Sen,Anil,Zaheera,Archana
Drama,6,19,Chatterjee,Dharmendra,Pranoti,Brahm
Drama,6,16,Sinha,Arjun,Nayab,Radhika
Romance,6,44,Dharamsey,Dilip,Nargis,Nalini
Drama,7,47,Sasi,Rajesh,Smita,Sabeeha
History,6,9,Chahal,Deep,Jaswant,Kashish
Drama,6,26,Khan,Naseem,Surendra,Prem
Drama,4,44,Kumar,Jeetendra,Rekha,Vinod
Drama,5,8,Bose,Sanjay,Rakhee,Simi
Drama,6,15,Sagar,Ashok,Parikshit,Zarina
Crime,6,51,Johri,Om,Ashutosh,Abbas
Drama,7,26,Bose,Ashok,Deb,Alka
Drama,7,7,Nikash,Imran,Imran,Azmat
Drama,5,11,Rajeevnath,Jackie,Sanjay,Gul
Biography,5,5,D'Souza,Prabhu,Varun,Shraddha
Action,5,6,Subba,Aatish,Sabah,Rita
Action,7,4,Jha,Ajay,Nana,Bipasha
Drama,5,8,Asthana,Ami,Suresh,Manik
Action,5,27,Talukdar,Adil,Rakesh,Dasharat
Drama,5,22,Om,Jeetendra,Rekha,Amrish
Romance,5,5,Nirula,Asha,Manoj,Mohan
Drama,4,5,Pahwa,Shyama,Prem,Nanda
Comedy,6,25,Segal,Kishore,Sayeeda,Nasir
Action,5,15,Subhash,Shashi,Hema,Ashok
Comedy,5,1,Sivan,Riteish,Shreyas,Riya
Drama,6,2,Sharma,Dharmendra,Sunny,Bobby
Drama,6,27,Behl,Jeetendra,Rekha,Karan
Action,5,43,Khan,Mithun,Shilpa,Irfan
Crime,6,13,Bhandari,Dharmendra,Sanjeev,Rakesh
Drama,6,20,Chakraborty,Mala,Manoj,Shashikala
Drama,6,14,Tandon,Sanjeev,Leena,Danny
Action,4,45,Ravi,Vikas,Aparajita,Arun
Crime,6,7,Pethkar,Madhubala,Ram,Leela
Drama,7,6,Kishore,Kiran,Yogeeta,Imtiaz
Thriller,4,6,Bhakri,Ram,Mehak,Madhu
Thriller,6,13,Bhakri,Javed,Rajni,Arpana
Comedy,6,32,Mukherji,Saira,Biswajit,Jayant
Drama,7,1,Samanta,Rajesh,Sharmila,Sujit
Drama,6,50,Kishore,Mohan,Yagnaseni,Sanjana
Action,5,50,Maharajan,Lara,Manivannan,Raghuvaran
Family,6,40,Chakraborty,Meena,Raaj,Shubha
Action,4,1,Jugraj,Diljit,Kriti,Varun
Animation,6,1,Chaudhuri,Pavan,K.K.,Yudhveer
Drama,6,19,Mistry,Dev,Madhubala,Shakila
Drama,5,1,Irani,Amitabh,Anil,Preity
History,4,25,Sagar,Raj,Ranjeeta,Shammi
Action,4,1,Shetty,Sridevi,Shah,Harish
Drama,5,9,Chaudhuri,Rituparna,Samadarshi,Soumitra
Drama,6,9,Anand,Nimmi,Sheila,Sitara
Drama,7,1,Bhatt,Shabana,Kulbhushan,Smita
Musical,7,49,Latif,Kamini,Dilip,Shashikala
Drama,6,12,Banerjee,Master,Rohini,Saeed
Drama,4,18,Misra,Gracy,Asseem,Neha
Drama,6,44,Rao,Rajesh,Reena,Rekha
Drama,7,49,Trilochan,Nargis,Raj,Shivraj
Action,4,8,Muneshwar,Rajan,Sudesh,Arun
Action,6,13,Sivan,Shah,Kareena,Danny
Drama,6,6,Ranjankar,Yogesh,Sadhu,Sachin
Drama,4,38,Nag,Shatrughan,Rajinikanth,Anita
Action,4,55,Kumar,Jeetendra,Raj,Anita
Family,7,33,Singh,Mansinghms,Indu,Man
Action,5,1,Reddy,Mahesh,Amrita,Ajay
Drama,6,20,Sen,Shashi,Shabana,Shatrughan
Comedy,5,7,k,Manoj,Vipin,Avnish
Comedy,6,5,Dhir,Ajay,Konkona,Paresh
Family,5,6,Kanwar,Pran,Amjad,Vinod
Thriller,4,9,Pv,Joyita,Azad,Rehman
Comedy,5,25,Kumar,Jeetendra,Babita,Mehmood
Action,6,6,Kumar,Nagarjuna,J.D.,Charu
Romance,7,32,Mahendra,Sudhir,Sushma,Akshay
Horror,6,24,Ramsay,Tulsi,Sachin,Rajni
Comedy,4,36,Soni,Krishna,Kashmira,Jackie
Action,6,3,Sabharwal,Arjun,Sasha,Prithviraj
Drama,7,30,Khan,Surendra,Sardar,Lala
Action,4,14,Das,Bina,Prem,Purnima
Comedy,7,59,Balan,S.S.,Padmini,Pran
Crime,5,10,Viswanath,Sadashiv,Dilip,Aruna
Action,4,7,Ishara,Sudhir,Mazhar,Vinod
Drama,4,16,Prasad,Shoma,Vikas,Raj
Romance,4,44,Krishna,Nagarjuna,Mahesh,Babu
Adventure,5,58,Chopra,Rajesh,Ashok,Smita
Drama,6,8,Singh,Chitrak,Joy,Benjamin
Action,4,9,Sharma,Ajinkya,Nethra,Sayaji
Action,6,44,Mehra,Mithun,Poonam,Bindiya
Drama,6,27,Goswami,Anuj,Vikrant,Apurva
Drama,7,3,Kapoor,Raj,Nargis,Prithviraj
Action,6,46,Samanta,Rajesh,Jaya,Rakesh
Action,5,17,Ishara,Ragini,Ajit,Indira
Action,6,7,Bhatt,Akshay,Sunil,Aftab
Action,4,9,Kumar,Aditya,Kimi,Sahila
Action,7,6,Suri,Emraan,Mrinalini,Ashish
Comedy,7,1,Kharkongor,Sayani,Lin,Jimpa
Romance,5,34,Samanta,Sanjeev,Rati,Arun
Romance,6,40,Pappu,Avinash,Shaheen,Anupam
Action,5,52,Chandrashekhar,Rekha,Rishi,Jackie
Drama,7,11,Acharya,Leela,Ashok,Hansa
Drama,5,6,Batra,Yogeeta,Iftekhar,Jagdeep
Biography,5,5,D'Souza,Emraan,Nargis,Prachi
Crime,6,3,Bahl,Shadab,Shilpa,Dibyendu
Drama,5,3,Chopra,Amitabh,Salman,Hema
Drama,5,23,Sagar,Shammi,Mithun,Poonam
Drama,6,20,Majumdar,Dev,Meena,Ashok
Action,6,17,Alibhai,Mastan,Shah,Twinkle
Action,4,4,Luthria,Ajay,Ileana,Emraan
Action,5,7,Khan,Shraddha,Tiger,Sudheer
Action,4,9,Khan,Tiger,Disha,Manoj
Action,5,1,S.,Salman,Nagma,Shakti
Family,6,10,Kishore,Ram,Saroj,Roni
Drama,7,16,Mahajan,Zakir,Amruta,Ravi
Comedy,7,20,Vinodray,Samiksha,Rishi,Nilofar
Drama,5,11,Kameshwara,Anjali,Dhulipala,Haranath
Action,4,26,R.,Kamal,Tisca,Sudha
Drama,6,14,Roy,Sunalini,Dolly,Nasir
Thriller,5,8,Ahire,Laxmikant,Rajesh,Vrunda
Comedy,6,28,Rashid,Kishore,Chand,Smriti
Action,5,6,Mehra,Sidharth,Katrina,Sayani
Crime,7,37,Mukherjee,Dev,Nutan,Anwar
Drama,6,8,Grewal,Sadashiv,Mohnish,Rakesh
Family,4,6,Trilogchander,Rakesh,Jaya,Yogeeta
Action,5,49,Subash,Govinda,Sonam,Abhinav
Crime,6,4,K.,Radhika,Saif,Chitrangda
Action,6,2,Gowariker,Aamir,Mamta,Paresh
Crime,7,26,Alibhai,Mastan,Shah,Kajol
Adventure,7,6,Thakur,Vijayalalitha,Roopesh,Bindu
Biography,4,8,Ramakrishna,Sreejith,Jaya,Sarath
Drama,6,16,Gupta,Gajanan,Azra,Sulochana
Drama,4,9,Moonis,Gyan,Upasna,Kanchan
Drama,5,9,Narang,Sanjay,Hema,Shatrughan
Drama,5,10,Meher,Debu,Anita,Gadi
Action,6,1,Nandy,Nawazuddin,Bidita,Jatin
Horror,5,10,Ramsay,Aniruddh,Sadashiv,Anisshka
Comedy,4,34,Trivedi,Jimmy,Arbaaz,Nauheed
Comedy,6,10,Anand,Ranbir,Deepika,Bipasha
Action,6,31,Pratyagatma,Sulochana,Pratima,Baby
Family,6,12,Chinoy,Sanjeev,Parveen,Shatrughan
Action,6,5,Kaushal,Laxmi,Vijaya,Jayant
Drama,5,8,Amarnath,Ajit,Kamini,Anant
Drama,6,45,Dutt,Shabana,Marc,Tara
Action,5,22,Verma,Ashok,Deven,Nikhilesh
Action,6,34,Chakrabarty,Madhubala,Prem,Purnima
Action,7,10,Irani,Sheikh,L.,Sanjeev
Action,4,1,Kanwar,Bobby,Rani,Ashutosh
Action,5,2,Dhawan,Amitabh,Govinda,Raveena
Drama,6,37,Kumar,Kishore,I.S.,Sheetal
Drama,6,7,Debata,Isha,Debu,Anu
Comedy,4,11,Suri,Nanda,Jeetendra,Om
Drama,5,9,Vinayak,Sitara,Girish,Ishwarlal
Drama,6,7,Kumar,Sanjeev,Apeksha,Sadhana
Crime,7,23,Ghosh,Amitabh,Taapsee,Amrita
Action,7,11,Sharma,Rajendra,Vinod,Asha
Action,7,22,Raghavan,Varun,Nawazuddin,Yami
Action,4,59,Kohli,Sunil,Dharmendra,Jeetendra
Comedy,6,6,Sethi,Shahid,Anushka,Meiyang
Action,4,9,Menon,Mahesh,Aruna,Kiran
Comedy,4,30,Sen,Gulshan,Rishi,Farah
Romance,6,7,Bhatt,Mohit,Priyal,Barkha
Drama,6,10,Kapoor,Nitin,Nandita,Nandlal
Crime,5,19,Narvi,Rajesh,Sharmila,Sona
Comedy,6,10,Khaitan,Varun,Alia,Sahil
Action,6,16,Chakrabarty,Pradeep,Mala,Usha
